Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga (Rp)
76,Sulawesi Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,
11,Aceh,Ayam Ras Pedaging,2023,Januari,
12,Sumatera Utara,Ayam Ras Pedaging,2023,Januari,"Rp22,470"
13,Sumatera Barat,Ayam Ras Pedaging,2023,Januari,"Rp24,200"
14,Riau,Ayam Ras Pedaging,2023,Januari,"Rp20,711"
15,Jambi,Ayam Ras Pedaging,2023,Januari,"Rp26,967"
16,Sumatera Selatan,Ayam Ras Pedaging,2023,Januari,"Rp18,194"
17,Bengkulu,Ayam Ras Pedaging,2023,Januari,
18,Lampung,Ayam Ras Pedaging,2023,Januari,"Rp22,241"
32,Jawa Barat,Ayam Ras Pedaging,2023,Januari,"Rp21,553"
33,Jawa Tengah,Ayam Ras Pedaging,2023,Januari,"Rp18,647"
34,D.I Yogyakarta,Ayam Ras Pedaging,2023,Januari,
35,Jawa Timur,Ayam Ras Pedaging,2023,Januari,"Rp20,617"
36,Banten,Ayam Ras Pedaging,2023,Januari,"Rp22,330"
51,Bali,Ayam Ras Pedaging,2023,Januari,"Rp21,110"
52,Nusa Tenggara Barat,Ayam Ras Pedaging,2023,Januari,"Rp25,000"
53,Nusa Tenggara Timur,Ayam Ras Pedaging,2023,Januari,"Rp25,500"
61,Kalimantan Barat,Ayam Ras Pedaging,2023,Januari,
62,Kalimantan Tengah,Ayam Ras Pedaging,2023,Januari,
63,Kalimantan Selatan,Ayam Ras Pedaging,2023,Januari,"Rp29,000"
71,Sulawesi Utara,Ayam Ras Pedaging,2023,Januari,
72,Sulawesi Tengah,Ayam Ras Pedaging,2023,Januari,
73,Sulawesi Selatan,Ayam Ras Pedaging,2023,Januari,"Rp21,629"
74,Sulawesi Tenggara,Ayam Ras Pedaging,2023,Januari,
75,Gorontalo,Ayam Ras Pedaging,2023,Januari,
76,Sulawesi Barat,Ayam Ras Pedaging,2023,Januari,
11,Aceh,Telur Ayam Ras,2023,Januari,
12,Sumatera Utara,Telur Ayam Ras,2023,Januari,"Rp23,671"
13,Sumatera Barat,Telur Ayam Ras,2023,Januari,"Rp24,684"
14,Riau,Telur Ayam Ras,2023,Januari,
15,Jambi,Telur Ayam Ras,2023,Januari,"Rp24,000"
16,Sumatera Selatan,Telur Ayam Ras,2023,Januari,"Rp23,482"
17,Bengkulu,Telur Ayam Ras,2023,Januari,
18,Lampung,Telur Ayam Ras,2023,Januari,"Rp25,093"
32,Jawa Barat,Telur Ayam Ras,2023,Januari,"Rp24,675"
33,Jawa Tengah,Telur Ayam Ras,2023,Januari,"Rp24,620"
34,D.I Yogyakarta,Telur Ayam Ras,2023,Januari,"Rp24,275"
35,Jawa Timur,Telur Ayam Ras,2023,Januari,"Rp24,113"
36,Banten,Telur Ayam Ras,2023,Januari,"Rp23,416"
51,Bali,Telur Ayam Ras,2023,Januari,"Rp23,980"
52,Nusa Tenggara Barat,Telur Ayam Ras,2023,Januari,
53,Nusa Tenggara Timur,Telur Ayam Ras,2023,Januari,"Rp25,171"
61,Kalimantan Barat,Telur Ayam Ras,2023,Januari,"Rp27,292"
62,Kalimantan Tengah,Telur Ayam Ras,2023,Januari,
63,Kalimantan Selatan,Telur Ayam Ras,2023,Januari,"Rp26,909"
71,Sulawesi Utara,Telur Ayam Ras,2023,Januari,"Rp23,115"
72,Sulawesi Tengah,Telur Ayam Ras,2023,Januari,
73,Sulawesi Selatan,Telur Ayam Ras,2023,Januari,"Rp23,954"
74,Sulawesi Tenggara,Telur Ayam Ras,2023,Januari,
75,Gorontalo,Telur Ayam Ras,2023,Januari,
76,Sulawesi Barat,Telur Ayam Ras,2023,Januari,
11,Aceh,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp53,000"
12,Sumatera Utara,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp25,500"
13,Sumatera Barat,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp24,545"
14,Riau,Cabai Rawit Merah Tingkat Petani,2023,Februari,
15,Jambi,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp30,000"
16,Sumatera Selatan,Cabai Rawit Merah Tingkat Petani,2023,Februari,
17,Bengkulu,Cabai Rawit Merah Tingkat Petani,2023,Februari,
18,Lampung,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp46,047"
32,Jawa Barat,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp37,835"
33,Jawa Tengah,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp42,763"
34,D.I Yogyakarta,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp45,964"
35,Jawa Timur,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp43,944"
36,Banten,Cabai Rawit Merah Tingkat Petani,2023,Februari,
51,Bali,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp45,509"
52,Nusa Tenggara Barat,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp51,223"
53,Nusa Tenggara Timur,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp41,765"
61,Kalimantan Barat,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp61,400"
62,Kalimantan Tengah,Cabai Rawit Merah Tingkat Petani,2023,Februari,
63,Kalimantan Selatan,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp48,458"
71,Sulawesi Utara,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp29,826"
72,Sulawesi Tengah,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp25,992"
73,Sulawesi Selatan,Cabai Rawit Merah Tingkat Petani,2023,Februari,"Rp24,038"
74,Sulawesi Tenggara,Cabai Rawit Merah Tingkat Petani,2023,Februari,
75,Gorontalo,Cabai Rawit Merah Tingkat Petani,2023,Februari,
76,Sulawesi Barat,Cabai Rawit Merah Tingkat Petani,2023,Februari,
11,Aceh,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp52,549"
12,Sumatera Utara,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp53,870"
13,Sumatera Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp54,700"
14,Riau,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,
15,Jambi,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp54,831"
16,Sumatera Selatan,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp49,873"
17,Bengkulu,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,
18,Lampung,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp51,455"
32,Jawa Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp52,817"
33,Jawa Tengah,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp49,444"
34,D.I Yogyakarta,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,
35,Jawa Timur,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp49,078"
36,Banten,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp55,125"
51,Bali,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp41,730"
52,Nusa Tenggara Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp50,645"
53,Nusa Tenggara Timur,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp54,756"
61,Kalimantan Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,
62,Kalimantan Tengah,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,
63,Kalimantan Selatan,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp59,000"
71,Sulawesi Utara,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,
72,Sulawesi Tengah,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,
73,Sulawesi Selatan,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,"Rp54,647"
74,Sulawesi Tenggara,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,
75,Gorontalo,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,
76,Sulawesi Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Februari,
11,Aceh,Ayam Ras Pedaging,2023,Februari,
12,Sumatera Utara,Ayam Ras Pedaging,2023,Februari,"Rp20,919"
13,Sumatera Barat,Ayam Ras Pedaging,2023,Februari,
14,Riau,Ayam Ras Pedaging,2023,Februari,"Rp18,044"
15,Jambi,Ayam Ras Pedaging,2023,Februari,"Rp26,379"
16,Sumatera Selatan,Ayam Ras Pedaging,2023,Februari,"Rp16,250"
17,Bengkulu,Ayam Ras Pedaging,2023,Februari,
18,Lampung,Ayam Ras Pedaging,2023,Februari,"Rp21,492"
32,Jawa Barat,Ayam Ras Pedaging,2023,Februari,"Rp20,767"
33,Jawa Tengah,Ayam Ras Pedaging,2023,Februari,"Rp18,064"
34,D.I Yogyakarta,Ayam Ras Pedaging,2023,Februari,
35,Jawa Timur,Ayam Ras Pedaging,2023,Februari,"Rp20,245"
36,Banten,Ayam Ras Pedaging,2023,Februari,"Rp21,482"
51,Bali,Ayam Ras Pedaging,2023,Februari,"Rp19,843"
52,Nusa Tenggara Barat,Ayam Ras Pedaging,2023,Februari,"Rp25,000"
53,Nusa Tenggara Timur,Ayam Ras Pedaging,2023,Februari,"Rp24,993"
61,Kalimantan Barat,Ayam Ras Pedaging,2023,Februari,"Rp28,000"
62,Kalimantan Tengah,Ayam Ras Pedaging,2023,Februari,
63,Kalimantan Selatan,Ayam Ras Pedaging,2023,Februari,"Rp25,273"
71,Sulawesi Utara,Ayam Ras Pedaging,2023,Februari,
72,Sulawesi Tengah,Ayam Ras Pedaging,2023,Februari,
73,Sulawesi Selatan,Ayam Ras Pedaging,2023,Februari,"Rp20,466"
74,Sulawesi Tenggara,Ayam Ras Pedaging,2023,Februari,
75,Gorontalo,Ayam Ras Pedaging,2023,Februari,
76,Sulawesi Barat,Ayam Ras Pedaging,2023,Februari,
11,Aceh,Telur Ayam Ras,2023,Februari,
12,Sumatera Utara,Telur Ayam Ras,2023,Februari,"Rp23,222"
13,Sumatera Barat,Telur Ayam Ras,2023,Februari,"Rp24,001"
14,Riau,Telur Ayam Ras,2023,Februari,
15,Jambi,Telur Ayam Ras,2023,Februari,"Rp26,700"
16,Sumatera Selatan,Telur Ayam Ras,2023,Februari,"Rp22,722"
17,Bengkulu,Telur Ayam Ras,2023,Februari,
18,Lampung,Telur Ayam Ras,2023,Februari,"Rp24,899"
32,Jawa Barat,Telur Ayam Ras,2023,Februari,"Rp24,479"
33,Jawa Tengah,Telur Ayam Ras,2023,Februari,"Rp24,144"
34,D.I Yogyakarta,Telur Ayam Ras,2023,Februari,"Rp24,074"
35,Jawa Timur,Telur Ayam Ras,2023,Februari,"Rp23,508"
36,Banten,Telur Ayam Ras,2023,Februari,"Rp22,722"
51,Bali,Telur Ayam Ras,2023,Februari,"Rp22,616"
52,Nusa Tenggara Barat,Telur Ayam Ras,2023,Februari,
53,Nusa Tenggara Timur,Telur Ayam Ras,2023,Februari,"Rp25,757"
61,Kalimantan Barat,Telur Ayam Ras,2023,Februari,"Rp27,471"
62,Kalimantan Tengah,Telur Ayam Ras,2023,Februari,
63,Kalimantan Selatan,Telur Ayam Ras,2023,Februari,"Rp26,078"
71,Sulawesi Utara,Telur Ayam Ras,2023,Februari,"Rp22,447"
72,Sulawesi Tengah,Telur Ayam Ras,2023,Februari,
73,Sulawesi Selatan,Telur Ayam Ras,2023,Februari,"Rp23,294"
74,Sulawesi Tenggara,Telur Ayam Ras,2023,Februari,
75,Gorontalo,Telur Ayam Ras,2023,Februari,
76,Sulawesi Barat,Telur Ayam Ras,2023,Februari,
11,Aceh,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp30,000"
12,Sumatera Utara,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp21,585"
13,Sumatera Barat,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp23,833"
14,Riau,Cabai Rawit Merah Tingkat Petani,2023,Maret,
15,Jambi,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp20,000"
16,Sumatera Selatan,Cabai Rawit Merah Tingkat Petani,2023,Maret,
17,Bengkulu,Cabai Rawit Merah Tingkat Petani,2023,Maret,
18,Lampung,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp35,032"
32,Jawa Barat,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp45,994"
33,Jawa Tengah,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp46,697"
34,D.I Yogyakarta,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp51,099"
35,Jawa Timur,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp52,182"
36,Banten,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp58,333"
51,Bali,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp59,549"
52,Nusa Tenggara Barat,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp63,432"
53,Nusa Tenggara Timur,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp47,250"
61,Kalimantan Barat,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp63,463"
62,Kalimantan Tengah,Cabai Rawit Merah Tingkat Petani,2023,Maret,
63,Kalimantan Selatan,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp60,934"
71,Sulawesi Utara,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp58,302"
72,Sulawesi Tengah,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp44,112"
73,Sulawesi Selatan,Cabai Rawit Merah Tingkat Petani,2023,Maret,"Rp34,207"
74,Sulawesi Tenggara,Cabai Rawit Merah Tingkat Petani,2023,Maret,
75,Gorontalo,Cabai Rawit Merah Tingkat Petani,2023,Maret,
76,Sulawesi Barat,Cabai Rawit Merah Tingkat Petani,2023,Maret,
11,Aceh,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp53,208"
12,Sumatera Utara,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp53,046"
13,Sumatera Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp55,124"
14,Riau,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,
15,Jambi,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp56,087"
16,Sumatera Selatan,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp50,063"
17,Bengkulu,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,
18,Lampung,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp51,391"
32,Jawa Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp54,158"
33,Jawa Tengah,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp49,687"
34,D.I Yogyakarta,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,
35,Jawa Timur,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp49,099"
36,Banten,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp54,607"
51,Bali,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp41,597"
52,Nusa Tenggara Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp50,788"
53,Nusa Tenggara Timur,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp56,489"
61,Kalimantan Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,
62,Kalimantan Tengah,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,
63,Kalimantan Selatan,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp61,362"
71,Sulawesi Utara,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,
72,Sulawesi Tengah,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,
73,Sulawesi Selatan,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp54,620"
74,Sulawesi Tenggara,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,
75,Gorontalo,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,"Rp46,087"
76,Sulawesi Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Maret,
11,Aceh,Ayam Ras Pedaging,2023,Maret,
12,Sumatera Utara,Ayam Ras Pedaging,2023,Maret,"Rp21,273"
13,Sumatera Barat,Ayam Ras Pedaging,2023,Maret,
14,Riau,Ayam Ras Pedaging,2023,Maret,"Rp18,636"
15,Jambi,Ayam Ras Pedaging,2023,Maret,"Rp27,047"
16,Sumatera Selatan,Ayam Ras Pedaging,2023,Maret,"Rp17,813"
17,Bengkulu,Ayam Ras Pedaging,2023,Maret,
18,Lampung,Ayam Ras Pedaging,2023,Maret,"Rp22,378"
32,Jawa Barat,Ayam Ras Pedaging,2023,Maret,"Rp21,235"
33,Jawa Tengah,Ayam Ras Pedaging,2023,Maret,"Rp18,330"
34,D.I Yogyakarta,Ayam Ras Pedaging,2023,Maret,
35,Jawa Timur,Ayam Ras Pedaging,2023,Maret,"Rp20,514"
36,Banten,Ayam Ras Pedaging,2023,Maret,"Rp21,091"
51,Bali,Ayam Ras Pedaging,2023,Maret,"Rp19,748"
52,Nusa Tenggara Barat,Ayam Ras Pedaging,2023,Maret,"Rp25,000"
53,Nusa Tenggara Timur,Ayam Ras Pedaging,2023,Maret,"Rp24,956"
61,Kalimantan Barat,Ayam Ras Pedaging,2023,Maret,"Rp25,944"
62,Kalimantan Tengah,Ayam Ras Pedaging,2023,Maret,
63,Kalimantan Selatan,Ayam Ras Pedaging,2023,Maret,"Rp24,221"
71,Sulawesi Utara,Ayam Ras Pedaging,2023,Maret,
72,Sulawesi Tengah,Ayam Ras Pedaging,2023,Maret,
73,Sulawesi Selatan,Ayam Ras Pedaging,2023,Maret,"Rp20,101"
74,Sulawesi Tenggara,Ayam Ras Pedaging,2023,Maret,
75,Gorontalo,Ayam Ras Pedaging,2023,Maret,
76,Sulawesi Barat,Ayam Ras Pedaging,2023,Maret,
11,Aceh,Telur Ayam Ras,2023,Maret,
12,Sumatera Utara,Telur Ayam Ras,2023,Maret,"Rp23,003"
13,Sumatera Barat,Telur Ayam Ras,2023,Maret,"Rp23,550"
14,Riau,Telur Ayam Ras,2023,Maret,
15,Jambi,Telur Ayam Ras,2023,Maret,"Rp26,000"
16,Sumatera Selatan,Telur Ayam Ras,2023,Maret,"Rp24,059"
17,Bengkulu,Telur Ayam Ras,2023,Maret,
18,Lampung,Telur Ayam Ras,2023,Maret,"Rp25,209"
32,Jawa Barat,Telur Ayam Ras,2023,Maret,"Rp25,335"
33,Jawa Tengah,Telur Ayam Ras,2023,Maret,"Rp25,488"
34,D.I Yogyakarta,Telur Ayam Ras,2023,Maret,"Rp24,599"
35,Jawa Timur,Telur Ayam Ras,2023,Maret,"Rp24,253"
36,Banten,Telur Ayam Ras,2023,Maret,"Rp22,787"
51,Bali,Telur Ayam Ras,2023,Maret,"Rp22,523"
52,Nusa Tenggara Barat,Telur Ayam Ras,2023,Maret,
53,Nusa Tenggara Timur,Telur Ayam Ras,2023,Maret,"Rp24,830"
61,Kalimantan Barat,Telur Ayam Ras,2023,Maret,"Rp27,224"
62,Kalimantan Tengah,Telur Ayam Ras,2023,Maret,
63,Kalimantan Selatan,Telur Ayam Ras,2023,Maret,"Rp26,348"
71,Sulawesi Utara,Telur Ayam Ras,2023,Maret,"Rp24,667"
72,Sulawesi Tengah,Telur Ayam Ras,2023,Maret,
73,Sulawesi Selatan,Telur Ayam Ras,2023,Maret,"Rp23,351"
74,Sulawesi Tenggara,Telur Ayam Ras,2023,Maret,
75,Gorontalo,Telur Ayam Ras,2023,Maret,
76,Sulawesi Barat,Telur Ayam Ras,2023,Maret,
11,Aceh,Cabai Rawit Merah Tingkat Petani,2023,April,
12,Sumatera Utara,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp14,000"
13,Sumatera Barat,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp22,944"
14,Riau,Cabai Rawit Merah Tingkat Petani,2023,April,
15,Jambi,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp20,000"
16,Sumatera Selatan,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp14,000"
17,Bengkulu,Cabai Rawit Merah Tingkat Petani,2023,April,
18,Lampung,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp32,074"
32,Jawa Barat,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp29,531"
33,Jawa Tengah,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp23,993"
34,D.I Yogyakarta,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp27,047"
35,Jawa Timur,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp23,486"
36,Banten,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp44,083"
51,Bali,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp22,771"
52,Nusa Tenggara Barat,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp30,466"
53,Nusa Tenggara Timur,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp47,333"
61,Kalimantan Barat,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp54,620"
62,Kalimantan Tengah,Cabai Rawit Merah Tingkat Petani,2023,April,
63,Kalimantan Selatan,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp50,313"
71,Sulawesi Utara,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp28,220"
72,Sulawesi Tengah,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp20,381"
73,Sulawesi Selatan,Cabai Rawit Merah Tingkat Petani,2023,April,"Rp25,809"
74,Sulawesi Tenggara,Cabai Rawit Merah Tingkat Petani,2023,April,
75,Gorontalo,Cabai Rawit Merah Tingkat Petani,2023,April,
76,Sulawesi Barat,Cabai Rawit Merah Tingkat Petani,2023,April,
11,Aceh,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp53,203"
12,Sumatera Utara,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp53,595"
13,Sumatera Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp55,239"
14,Riau,Sapi Hidup (Tingkat Peternak/RPH),2023,April,
15,Jambi,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp57,186"
16,Sumatera Selatan,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp50,316"
17,Bengkulu,Sapi Hidup (Tingkat Peternak/RPH),2023,April,
18,Lampung,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp51,253"
32,Jawa Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp55,267"
33,Jawa Tengah,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp50,439"
34,D.I Yogyakarta,Sapi Hidup (Tingkat Peternak/RPH),2023,April,
35,Jawa Timur,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp49,039"
36,Banten,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp54,673"
51,Bali,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp41,860"
52,Nusa Tenggara Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp50,749"
53,Nusa Tenggara Timur,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp53,317"
61,Kalimantan Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp70,000"
62,Kalimantan Tengah,Sapi Hidup (Tingkat Peternak/RPH),2023,April,
63,Kalimantan Selatan,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp61,727"
71,Sulawesi Utara,Sapi Hidup (Tingkat Peternak/RPH),2023,April,
72,Sulawesi Tengah,Sapi Hidup (Tingkat Peternak/RPH),2023,April,
73,Sulawesi Selatan,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp54,715"
74,Sulawesi Tenggara,Sapi Hidup (Tingkat Peternak/RPH),2023,April,
75,Gorontalo,Sapi Hidup (Tingkat Peternak/RPH),2023,April,"Rp41,667"
76,Sulawesi Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,April,
11,Aceh,Ayam Ras Pedaging,2023,April,
12,Sumatera Utara,Ayam Ras Pedaging,2023,April,"Rp21,006"
13,Sumatera Barat,Ayam Ras Pedaging,2023,April,"Rp17,300"
14,Riau,Ayam Ras Pedaging,2023,April,"Rp17,804"
15,Jambi,Ayam Ras Pedaging,2023,April,"Rp28,071"
16,Sumatera Selatan,Ayam Ras Pedaging,2023,April,"Rp19,667"
17,Bengkulu,Ayam Ras Pedaging,2023,April,
18,Lampung,Ayam Ras Pedaging,2023,April,"Rp22,235"
32,Jawa Barat,Ayam Ras Pedaging,2023,April,"Rp22,012"
33,Jawa Tengah,Ayam Ras Pedaging,2023,April,"Rp19,091"
34,D.I Yogyakarta,Ayam Ras Pedaging,2023,April,
35,Jawa Timur,Ayam Ras Pedaging,2023,April,"Rp21,162"
36,Banten,Ayam Ras Pedaging,2023,April,"Rp22,035"
51,Bali,Ayam Ras Pedaging,2023,April,"Rp21,681"
52,Nusa Tenggara Barat,Ayam Ras Pedaging,2023,April,"Rp25,000"
53,Nusa Tenggara Timur,Ayam Ras Pedaging,2023,April,"Rp26,669"
61,Kalimantan Barat,Ayam Ras Pedaging,2023,April,"Rp26,458"
62,Kalimantan Tengah,Ayam Ras Pedaging,2023,April,
63,Kalimantan Selatan,Ayam Ras Pedaging,2023,April,"Rp25,267"
71,Sulawesi Utara,Ayam Ras Pedaging,2023,April,
72,Sulawesi Tengah,Ayam Ras Pedaging,2023,April,
73,Sulawesi Selatan,Ayam Ras Pedaging,2023,April,"Rp21,042"
74,Sulawesi Tenggara,Ayam Ras Pedaging,2023,April,
75,Gorontalo,Ayam Ras Pedaging,2023,April,
76,Sulawesi Barat,Ayam Ras Pedaging,2023,April,
11,Aceh,Telur Ayam Ras,2023,April,
12,Sumatera Utara,Telur Ayam Ras,2023,April,"Rp23,294"
13,Sumatera Barat,Telur Ayam Ras,2023,April,"Rp23,438"
14,Riau,Telur Ayam Ras,2023,April,
15,Jambi,Telur Ayam Ras,2023,April,"Rp26,600"
16,Sumatera Selatan,Telur Ayam Ras,2023,April,"Rp23,476"
17,Bengkulu,Telur Ayam Ras,2023,April,
18,Lampung,Telur Ayam Ras,2023,April,"Rp25,804"
32,Jawa Barat,Telur Ayam Ras,2023,April,"Rp25,018"
33,Jawa Tengah,Telur Ayam Ras,2023,April,"Rp24,489"
34,D.I Yogyakarta,Telur Ayam Ras,2023,April,"Rp24,300"
35,Jawa Timur,Telur Ayam Ras,2023,April,"Rp23,983"
36,Banten,Telur Ayam Ras,2023,April,"Rp22,102"
51,Bali,Telur Ayam Ras,2023,April,"Rp23,168"
52,Nusa Tenggara Barat,Telur Ayam Ras,2023,April,
53,Nusa Tenggara Timur,Telur Ayam Ras,2023,April,"Rp27,096"
61,Kalimantan Barat,Telur Ayam Ras,2023,April,"Rp27,902"
62,Kalimantan Tengah,Telur Ayam Ras,2023,April,
63,Kalimantan Selatan,Telur Ayam Ras,2023,April,"Rp27,239"
71,Sulawesi Utara,Telur Ayam Ras,2023,April,"Rp26,592"
72,Sulawesi Tengah,Telur Ayam Ras,2023,April,
73,Sulawesi Selatan,Telur Ayam Ras,2023,April,"Rp23,785"
74,Sulawesi Tenggara,Telur Ayam Ras,2023,April,
75,Gorontalo,Telur Ayam Ras,2023,April,
76,Sulawesi Barat,Telur Ayam Ras,2023,April,
11,Aceh,Cabai Rawit Merah Tingkat Petani,2023,Mei,
12,Sumatera Utara,Cabai Rawit Merah Tingkat Petani,2023,Mei,"Rp11,077"
13,Sumatera Barat,Cabai Rawit Merah Tingkat Petani,2023,Mei,"Rp20,706"
