Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga (Rp)
51,Bali,Ayam Ras Pedaging,2022,Januari,"Rp24,189"
52,Nusa Tenggara Barat,Ayam Ras Pedaging,2022,Januari,"Rp24,256"
53,Nusa Tenggara Timur,Ayam Ras Pedaging,2022,Januari,
61,Kalimantan Barat,Ayam Ras Pedaging,2022,Januari,"Rp25,712"
62,Kalimantan Tengah,Ayam Ras Pedaging,2022,Januari,"Rp24,926"
63,Kalimantan Selatan,Ayam Ras Pedaging,2022,Januari,"Rp25,550"
64,Kalimantan Timur,Ayam Ras Pedaging,2022,Januari,
71,Sulawesi Utara,Ayam Ras Pedaging,2022,Januari,"Rp22,000"
72,Sulawesi Tengah,Ayam Ras Pedaging,2022,Januari,
73,Sulawesi Selatan,Ayam Ras Pedaging,2022,Januari,"Rp21,759"
74,Sulawesi Tenggara,Ayam Ras Pedaging,2022,Januari,
75,Gorontalo,Ayam Ras Pedaging,2022,Januari,
76,Sulawesi Barat,Ayam Ras Pedaging,2022,Januari,
11,Aceh,Telur Ayam Ras,2022,Januari,
12,Sumatera Utara,Telur Ayam Ras,2022,Januari,"Rp21,597"
13,Sumatera Barat,Telur Ayam Ras,2022,Januari,"Rp21,648"
14,Riau,Telur Ayam Ras,2022,Januari,
15,Jambi,Telur Ayam Ras,2022,Januari,
16,Sumatera Selatan,Telur Ayam Ras,2022,Januari,"Rp19,855"
17,Bengkulu,Telur Ayam Ras,2022,Januari,
18,Lampung,Telur Ayam Ras,2022,Januari,"Rp22,886"
21,Kepulauan Riau,Telur Ayam Ras,2022,Januari,
32,Jawa Barat,Telur Ayam Ras,2022,Januari,"Rp21,156"
33,Jawa Tengah,Telur Ayam Ras,2022,Januari,"Rp19,893"
34,D.I Yogyakarta,Telur Ayam Ras,2022,Januari,"Rp21,717"
35,Jawa Timur,Telur Ayam Ras,2022,Januari,"Rp19,915"
36,Banten,Telur Ayam Ras,2022,Januari,"Rp18,500"
51,Bali,Telur Ayam Ras,2022,Januari,"Rp19,837"
52,Nusa Tenggara Barat,Telur Ayam Ras,2022,Januari,"Rp21,649"
53,Nusa Tenggara Timur,Telur Ayam Ras,2022,Januari,
61,Kalimantan Barat,Telur Ayam Ras,2022,Januari,"Rp25,271"
62,Kalimantan Tengah,Telur Ayam Ras,2022,Januari,
63,Kalimantan Selatan,Telur Ayam Ras,2022,Januari,"Rp23,425"
64,Kalimantan Timur,Telur Ayam Ras,2022,Januari,"Rp30,000"
71,Sulawesi Utara,Telur Ayam Ras,2022,Januari,"Rp26,208"
72,Sulawesi Tengah,Telur Ayam Ras,2022,Januari,
73,Sulawesi Selatan,Telur Ayam Ras,2022,Januari,"Rp22,184"
74,Sulawesi Tenggara,Telur Ayam Ras,2022,Januari,
75,Gorontalo,Telur Ayam Ras,2022,Januari,
76,Sulawesi Barat,Telur Ayam Ras,2022,Januari,
11,Aceh,Cabai Rawit Merah,2022,Februari,"Rp15,000"
12,Sumatera Utara,Cabai Rawit Merah,2022,Februari,"Rp28,000"
13,Sumatera Barat,Cabai Rawit Merah,2022,Februari,"Rp22,500"
14,Riau,Cabai Rawit Merah,2022,Februari,
15,Jambi,Cabai Rawit Merah,2022,Februari,"Rp43,000"
16,Sumatera Selatan,Cabai Rawit Merah,2022,Februari,
17,Bengkulu,Cabai Rawit Merah,2022,Februari,"Rp25,000"
18,Lampung,Cabai Rawit Merah,2022,Februari,"Rp26,135"
21,Kepulauan Riau,Cabai Rawit Merah,2022,Februari,
32,Jawa Barat,Cabai Rawit Merah,2022,Februari,"Rp25,591"
33,Jawa Tengah,Cabai Rawit Merah,2022,Februari,"Rp24,778"
34,D.I Yogyakarta,Cabai Rawit Merah,2022,Februari,"Rp31,146"
35,Jawa Timur,Cabai Rawit Merah,2022,Februari,"Rp26,269"
36,Banten,Cabai Rawit Merah,2022,Februari,
51,Bali,Cabai Rawit Merah,2022,Februari,"Rp31,252"
52,Nusa Tenggara Barat,Cabai Rawit Merah,2022,Februari,"Rp30,333"
53,Nusa Tenggara Timur,Cabai Rawit Merah,2022,Februari,
61,Kalimantan Barat,Cabai Rawit Merah,2022,Februari,
62,Kalimantan Tengah,Cabai Rawit Merah,2022,Februari,
63,Kalimantan Selatan,Cabai Rawit Merah,2022,Februari,
64,Kalimantan Timur,Cabai Rawit Merah,2022,Februari,
71,Sulawesi Utara,Cabai Rawit Merah,2022,Februari,"Rp36,451"
72,Sulawesi Tengah,Cabai Rawit Merah,2022,Februari,"Rp27,667"
73,Sulawesi Selatan,Cabai Rawit Merah,2022,Februari,"Rp25,602"
74,Sulawesi Tenggara,Cabai Rawit Merah,2022,Februari,
75,Gorontalo,Cabai Rawit Merah,2022,Februari,
76,Sulawesi Barat,Cabai Rawit Merah,2022,Februari,
11,Aceh,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp51,599"
12,Sumatera Utara,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp48,105"
13,Sumatera Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp51,425"
14,Riau,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
15,Jambi,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp51,660"
16,Sumatera Selatan,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp47,569"
17,Bengkulu,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
18,Lampung,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp48,725"
21,Kepulauan Riau,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
32,Jawa Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp49,073"
