Kode Provinsi,Nama Provinsi,Tahun,Bulan,Curah Hujan
32,Jawa Barat,2022,Februari,8.98
32,Jawa Barat,2022,Maret,10.45
32,Jawa Barat,2022,April,11.48
32,Jawa Barat,2022,Mei,5.95
32,Jawa Barat,2022,Juni,4.4
32,Jawa Barat,2022,Juli,4.11
32,Jawa Barat,2022,Agustus,1.8
32,Jawa Barat,2022,September,4.48
32,Jawa Barat,2022,Oktober,9.97
32,Jawa Barat,2022,November,10.58
32,Jawa Barat,2022,Desember,8.42
33,Jawa Tengah,2022,Januari,10.09
33,Jawa Tengah,2022,Februari,9.38
33,Jawa Tengah,2022,Maret,13.01
33,Jawa Tengah,2022,April,9.58
33,Jawa Tengah,2022,Mei,6.22
33,Jawa Tengah,2022,Juni,7.26
33,Jawa Tengah,2022,Juli,5.9
33,Jawa Tengah,2022,Agustus,4.01
33,Jawa Tengah,2022,September,13.61
33,Jawa Tengah,2022,Oktober,9.49
33,Jawa Tengah,2022,November,17.37
33,Jawa Tengah,2022,Desember,10.46
34,DI Yogyakarta,2022,Januari,12.08
34,DI Yogyakarta,2022,Februari,9.26
34,DI Yogyakarta,2022,Maret,10.51
34,DI Yogyakarta,2022,April,10.91
34,DI Yogyakarta,2022,Mei,8.39
34,DI Yogyakarta,2022,Juni,9
34,DI Yogyakarta,2022,Juli,4.94
34,DI Yogyakarta,2022,Agustus,4.8
34,DI Yogyakarta,2022,September,8.08
34,DI Yogyakarta,2022,Oktober,9.97
34,DI Yogyakarta,2022,November,18.18
34,DI Yogyakarta,2022,Desember,11.72
35,Jawa Timur,2022,Januari,10.15
35,Jawa Timur,2022,Februari,12.12
35,Jawa Timur,2022,Maret,10.23
35,Jawa Timur,2022,April,5.38
35,Jawa Timur,2022,Mei,7.55
35,Jawa Timur,2022,Juni,5.17
35,Jawa Timur,2022,Juli,2.74
35,Jawa Timur,2022,Agustus,0.71
35,Jawa Timur,2022,September,2.37
35,Jawa Timur,2022,Oktober,7.7
35,Jawa Timur,2022,November,9.44
35,Jawa Timur,2022,Desember,8.79
36,Banten,2022,Januari,7.65
36,Banten,2022,Februari,9.36
36,Banten,2022,Maret,7.47
36,Banten,2022,April,8.87
36,Banten,2022,Mei,8.39
36,Banten,2022,Juni,5.96
36,Banten,2022,Juli,4.42
36,Banten,2022,Agustus,4.64
36,Banten,2022,September,6.2
36,Banten,2022,Oktober,9.02
36,Banten,2022,November,7.45
36,Banten,2022,Desember,7.86
51,Bali,2022,Januari,12.35
51,Bali,2022,Februari,9.96
51,Bali,2022,Maret,7.99
51,Bali,2022,April,3.2
51,Bali,2022,Mei,4.05
51,Bali,2022,Juni,3.5
51,Bali,2022,Juli,0.71
51,Bali,2022,Agustus,1.32
51,Bali,2022,September,2.19
51,Bali,2022,Oktober,11.77
51,Bali,2022,November,8.74
51,Bali,2022,Desember,7.67
52,Nusa Tenggara Barat,2022,Januari,11.04
52,Nusa Tenggara Barat,2022,Februari,7.42
52,Nusa Tenggara Barat,2022,Maret,6.18
52,Nusa Tenggara Barat,2022,April,4.05
52,Nusa Tenggara Barat,2022,Mei,2.4
52,Nusa Tenggara Barat,2022,Juni,2.7
52,Nusa Tenggara Barat,2022,Juli,0.77
52,Nusa Tenggara Barat,2022,Agustus,0.69
52,Nusa Tenggara Barat,2022,September,1.23
52,Nusa Tenggara Barat,2022,Oktober,8.3
52,Nusa Tenggara Barat,2022,November,7.9
52,Nusa Tenggara Barat,2022,Desember,8.53
53,Nusa Tenggara Timur,2022,Januari,8.15
53,Nusa Tenggara Timur,2022,Februari,9.61
53,Nusa Tenggara Timur,2022,Maret,6.73
53,Nusa Tenggara Timur,2022,April,5.02
53,Nusa Tenggara Timur,2022,Mei,3.2
53,Nusa Tenggara Timur,2022,Juni,3.01
53,Nusa Tenggara Timur,2022,Juli,0.98
53,Nusa Tenggara Timur,2022,Agustus,0.8
53,Nusa Tenggara Timur,2022,September,3.6
53,Nusa Tenggara Timur,2022,Oktober,7.24
53,Nusa Tenggara Timur,2022,November,9.98
53,Nusa Tenggara Timur,2022,Desember,7.98
61,Kalimantan Barat,2022,Januari,14.95
61,Kalimantan Barat,2022,Februari,7.53
61,Kalimantan Barat,2022,Maret,4.65
61,Kalimantan Barat,2022,April,6.04
61,Kalimantan Barat,2022,Mei,4.83
61,Kalimantan Barat,2022,Juni,7.12
61,Kalimantan Barat,2022,Juli,5.61
61,Kalimantan Barat,2022,Agustus,8.55
61,Kalimantan Barat,2022,September,7.3
