Kode Provinsi,Nama Provinsi,Komoditas,Bulan,Tahun,Produksi (Ton),Harga
76,SULAWESI BARAT,Daging Ayam Ras,Januari,2022,649,"Rp30,695"
81,MALUKU,Daging Ayam Ras,Januari,2022,43,"Rp46,720"
82,MALUKU UTARA,Daging Ayam Ras,Januari,2022,7,"Rp46,158"
91,PAPUA BARAT,Daging Ayam Ras,Januari,2022,94,"Rp44,248"
94,PAPUA,Daging Ayam Ras,Januari,2022,322,"Rp44,368"
11,ACEH,Daging Sapi Murni,Januari,2022,993,"Rp149,301"
12,SUMATERA UTARA,Daging Sapi Murni,Januari,2022,1080,"Rp131,825"
13,SUMATERA BARAT,Daging Sapi Murni,Januari,2022,1274,"Rp129,101"
14,RIAU,Daging Sapi Murni,Januari,2022,757,"Rp136,018"
15,JAMBI,Daging Sapi Murni,Januari,2022,297,"Rp126,173"
16,SUMATERA SELATAN,Daging Sapi Murni,Januari,2022,607,"Rp127,034"
17,BENGKULU,Daging Sapi Murni,Januari,2022,518,"Rp124,067"
18,LAMPUNG,Daging Sapi Murni,Januari,2022,1518,"Rp125,640"
19,KEPULAUAN BANGKA BELITUNG,Daging Sapi Murni,Januari,2022,115,"Rp132,131"
21,KEPULAUAN RIAU,Daging Sapi Murni,Januari,2022,52,"Rp140,958"
31,DKI JAKARTA,Daging Sapi Murni,Januari,2022,1564,"Rp125,547"
32,JAWA BARAT,Daging Sapi Murni,Januari,2022,5237,"Rp122,577"
33,JAWA TENGAH,Daging Sapi Murni,Januari,2022,3234,"Rp118,314"
34,DI YOGYAKARTA,Daging Sapi Murni,Januari,2022,265,"Rp124,586"
35,JAWA TIMUR,Daging Sapi Murni,Januari,2022,7782,"Rp111,503"
36,BANTEN,Daging Sapi Murni,Januari,2022,1344,"Rp126,198"
51,BALI,Daging Sapi Murni,Januari,2022,427,"Rp112,844"
52,NUSA TENGGARA BARAT,Daging Sapi Murni,Januari,2022,870,"Rp122,717"
53,NUSA TENGGARA TIMUR,Daging Sapi Murni,Januari,2022,918,"Rp109,784"
61,KALIMANTAN BARAT,Daging Sapi Murni,Januari,2022,350,"Rp142,674"
62,KALIMANTAN TENGAH,Daging Sapi Murni,Januari,2022,469,"Rp136,747"
63,KALIMANTAN SELATAN,Daging Sapi Murni,Januari,2022,557,"Rp130,253"
64,KALIMANTAN TIMUR,Daging Sapi Murni,Januari,2022,586,"Rp136,731"
65,KALIMANTAN UTARA,Daging Sapi Murni,Januari,2022,32,"Rp143,660"
71,SULAWESI UTARA,Daging Sapi Murni,Januari,2022,262,"Rp125,717"
72,SULAWESI TENGAH,Daging Sapi Murni,Januari,2022,467,"Rp127,326"
73,SULAWESI SELATAN,Daging Sapi Murni,Januari,2022,1135,"Rp118,939"
74,SULAWESI TENGGARA,Daging Sapi Murni,Januari,2022,195,"Rp124,372"
75,GORONTALO,Daging Sapi Murni,Januari,2022,186,"Rp125,672"
76,SULAWESI BARAT,Daging Sapi Murni,Januari,2022,168,"Rp124,143"
81,MALUKU,Daging Sapi Murni,Januari,2022,62,"Rp107,889"
82,MALUKU UTARA,Daging Sapi Murni,Januari,2022,148,"Rp122,945"
91,PAPUA BARAT,Daging Sapi Murni,Januari,2022,61,"Rp131,548"
94,PAPUA,Daging Sapi Murni,Januari,2022,260,"Rp139,434"
95,PAPUA PEGUNUNGAN,Daging Sapi Murni,Januari,2022,0,
11,ACEH,Telur Ayam Ras,Januari,2022,125,"Rp27,022"
12,SUMATERA UTARA,Telur Ayam Ras,Januari,2022,48707,"Rp28,284"
13,SUMATERA BARAT,Telur Ayam Ras,Januari,2022,30309,"Rp28,049"
14,RIAU,Telur Ayam Ras,Januari,2022,198,"Rp26,963"
15,JAMBI,Telur Ayam Ras,Januari,2022,5592,"Rp26,616"
16,SUMATERA SELATAN,Telur Ayam Ras,Januari,2022,18810,"Rp24,544"
17,BENGKULU,Telur Ayam Ras,Januari,2022,794,"Rp25,145"
18,LAMPUNG,Telur Ayam Ras,Januari,2022,17525,"Rp25,856"
19,KEPULAUAN BANGKA BELITUNG,Telur Ayam Ras,Januari,2022,1760,"Rp28,908"
21,KEPULAUAN RIAU,Telur Ayam Ras,Januari,2022,1722,"Rp30,825"
31,DKI JAKARTA,Telur Ayam Ras,Januari,2022,,"Rp26,211"
32,JAWA BARAT,Telur Ayam Ras,Januari,2022,58741,"Rp24,965"
33,JAWA TENGAH,Telur Ayam Ras,Januari,2022,66651,"Rp22,509"
34,DI YOGYAKARTA,Telur Ayam Ras,Januari,2022,14130,"Rp22,341"
35,JAWA TIMUR,Telur Ayam Ras,Januari,2022,104646,"Rp22,536"
36,BANTEN,Telur Ayam Ras,Januari,2022,26585,"Rp24,366"
51,BALI,Telur Ayam Ras,Januari,2022,14477,"Rp24,323"
52,NUSA TENGGARA BARAT,Telur Ayam Ras,Januari,2022,3217,"Rp25,985"
53,NUSA TENGGARA TIMUR,Telur Ayam Ras,Januari,2022,507,"Rp32,911"
61,KALIMANTAN BARAT,Telur Ayam Ras,Januari,2022,5927,"Rp29,935"
62,KALIMANTAN TENGAH,Telur Ayam Ras,Januari,2022,191,"Rp29,125"
63,KALIMANTAN SELATAN,Telur Ayam Ras,Januari,2022,8670,"Rp26,939"
64,KALIMANTAN TIMUR,Telur Ayam Ras,Januari,2022,2378,"Rp31,117"
65,KALIMANTAN UTARA,Telur Ayam Ras,Januari,2022,69,"Rp32,283"
71,SULAWESI UTARA,Telur Ayam Ras,Januari,2022,2713,"Rp28,219"
72,SULAWESI TENGAH,Telur Ayam Ras,Januari,2022,1098,"Rp28,436"
73,SULAWESI SELATAN,Telur Ayam Ras,Januari,2022,15037,"Rp25,045"
74,SULAWESI TENGGARA,Telur Ayam Ras,Januari,2022,120,"Rp29,122"
75,GORONTALO,Telur Ayam Ras,Januari,2022,261,"Rp27,290"
76,SULAWESI BARAT,Telur Ayam Ras,Januari,2022,31,"Rp24,475"
81,MALUKU,Telur Ayam Ras,Januari,2022,68,"Rp35,818"
82,MALUKU UTARA,Telur Ayam Ras,Januari,2022,12,"Rp34,962"
91,PAPUA BARAT,Telur Ayam Ras,Januari,2022,785,"Rp36,272"
94,PAPUA,Telur Ayam Ras,Januari,2022,1389,"Rp36,714"
11,ACEH,Cabai Rawit Merah,Februari,2022,6008,"Rp46,482"
12,SUMATERA UTARA,Cabai Rawit Merah,Februari,2022,7456,"Rp50,134"
13,SUMATERA BARAT,Cabai Rawit Merah,Februari,2022,3297,"Rp39,796"
14,RIAU,Cabai Rawit Merah,Februari,2022,551,"Rp38,500"
